breakingCommit,versionUpdateType,failureCategory
06c5386831e97e94d9b9fd155d3ea4aa8711c4e7,other,COMPILATION_FAILURE
07e4b2894bc68cd3bb1892beaa13ec353564dcf1,other,COMPILATION_FAILURE
097d93fbb2f9998ef1390ad10f92d1b70fda8b90,major,UNKNOWN_FAILURE
09a8774fc7d35a4bff24b55363fb6d2b94ff09e9,other,UNKNOWN_FAILURE
0a62cebef8b3dd4c544e8b70ce1b96b33390f4c0,major,UNKNOWN_FAILURE
0c9a9c80287e739424508b4afd3e7b73697733ae,minor,MAVEN_ENFORCER_FAILURE
0cdcc1f1319311f383676a89808c9b8eb190145c,major,COMPILATION_FAILURE
0e8625f492854a78c0e1ceff67b2abd7e081d42b,other,COMPILATION_FAILURE
0ead9a6c759b422a5b8db197bb52d1cc0cabce78,other,TEST_FAILURE
18ab6d7afbd1663c940167f15ab7aa39011041e1,other,UNKNOWN_FAILURE
18eff0121ded81b30af0924676407bfc663e6557,other,COMPILATION_FAILURE
1d0c5406203e778b5e67534cdf72f4370fd6d301,other,UNKNOWN_FAILURE
1e1de78344a89be66d2e78f7adb07a479f6677eb,major,COMPILATION_FAILURE
1ef97ea6c5b6e34151fe6167001b69e003449f95,minor,COMPILATION_FAILURE
1fc5281e0688c44025fe2b390a7d6e3e3088f385,other,COMPILATION_FAILURE
20e787c7e1e6d0f8de9449551a3749575348a341,minor,MAVEN_ENFORCER_FAILURE
22ce3b0e5c6c447c3c094bd145e9a097237ac9a9,other,UNKNOWN_FAILURE
22e31ea86228a73cbd54ad80fff5d12d596f1fe5,other,UNKNOWN_FAILURE
24d4a90ec1b375751e71f33d18949405c9529d77,minor,COMPILATION_FAILURE
26fd1cd7639b7deb7078df5e4cb05c6d463ad07a,other,COMPILATION_FAILURE
27ea953051c0508f589cd9cec620b38572adb5f0,patch,MAVEN_ENFORCER_FAILURE
283c6ddc77ec4f7c52e297926cb8a6960a3f8ab6,other,UNKNOWN_FAILURE
2a91a25b4eb1781a230683c1fd349eb673b8d9d4,minor,MAVEN_ENFORCER_FAILURE
2c957083a17edc918a21f20d2838cf7c21719700,minor,MAVEN_ENFORCER_FAILURE
2ea4f3a642abcd460c303713f0de8cd803cff378,other,UNKNOWN_FAILURE
2f9d75d4b01cd18afcb4676d134142882f9e0034,major,TEST_FAILURE
30caf72b737bd40b6b4a16c6b25ba574e3048810,major,UNKNOWN_FAILURE
3a4a2b11483689ca3e99e92785a7b27c56d072b8,other,COMPILATION_FAILURE
3c68e04f6a8ab2977a5c8fea5e2aa5373b0df742,patch,MAVEN_ENFORCER_FAILURE
3d205ddac1e3db863609be19116865e4cfa6dfc9,other,UNKNOWN_FAILURE
3e2f981f08e75926838fb0fa6d96fb3efba33bc3,other,UNKNOWN_FAILURE
3eb708f53f5f1ce897c3554bb73f5de5698dd171,other,COMPILATION_FAILURE
3f30dfff617fd652412260ecf648a25769a27101,major,COMPILATION_FAILURE
433fbc0ee1192ca4aa69f337fd3b530ec94906e9,major,COMPILATION_FAILURE
441f7f07d9265cc1d4c4f369ee6524973d9c6e17,other,COMPILATION_FAILURE
44a15fa526c10b0c39d8d7337b833d42448fcca4,major,UNKNOWN_FAILURE
44b14e90e4baa1b1971327f7167afb1b0f0dd8f0,other,UNKNOWN_FAILURE
471d07e01cd0c79dc9bed5344ed46418f4c078a2,other,COMPILATION_FAILURE
4bba3fb6147e72946f64724fe55eee5d15ff6206,major,COMPILATION_FAILURE
4c7b193ce573e31766da82268ffc9ba51412faa6,major,UNKNOWN_FAILURE
4d3c6dbc0bd9ca66b24af0bafda70c7355c3daf7,major,MAVEN_ENFORCER_FAILURE
4ea77102208edb25d3d7623a687538aba6f184e9,other,UNKNOWN_FAILURE
4ef9928eee8a3b357b15fd1c5b195800add63802,major,MAVEN_ENFORCER_FAILURE
500d9c021d34b307b1a70d3f29fb7f9b5ab9d1a6,major,COMPILATION_FAILURE
50be65a0234e63fe463ce8f2348a7dd8e34e2a72,other,UNKNOWN_FAILURE
51e103fc80aec2526ab5dd3bcc2d4d5ce4177842,major,UNKNOWN_FAILURE
52ba94ad488d562bce56eee92fb46c63fba6541b,other,TEST_FAILURE
532ba2101316be180cc065ba70760fcb4a650056,minor,MAVEN_ENFORCER_FAILURE
54abbbde6a1233e1523a9b5f811ea100efb5dead,minor,COMPILATION_FAILURE
5a0d2c907276ea5b31ef08786d01ed18689f5d00,other,UNKNOWN_FAILURE
5aa75fa04b54eb9157894e85aa0f6ea4bfdac677,other,UNKNOWN_FAILURE
5cf5a482bd430d81257b4ecd85b3d4f7da911621,major,COMPILATION_FAILURE
5e61a76ca214c41d7e1c079e6a81c3ba9c26772e,other,MAVEN_ENFORCER_FAILURE
5eb6dbe8e9c3dd1ba5e3f52c15608d28fc85e3a6,minor,MAVEN_ENFORCER_FAILURE
64b8a013098fc450e0e6ef0f38d1acd8cfbb99c1,minor,MAVEN_ENFORCER_FAILURE
65b5a75419981118d5a65e295abfd2069dfce0b0,major,UNKNOWN_FAILURE
6a96a3c8ab6523e9876ee49fdac32b494cdca4b3,other,UNKNOWN_FAILURE
6ad104c4fb9263ad1bb29e6b33618b8225efd92d,minor,COMPILATION_FAILURE
6c53cd904bd66fc79af8687571e607c259226b81,minor,COMPILATION_FAILURE
6d68d927b01ceb567f1067a91afbc97b4c5a66ce,other,COMPILATION_FAILURE
